repo_url,VendorName,Product,ProductCategory,Total Sites,US Sites,Total Enterprises,Enterprises in US,gh_stars,gh_forks,gh_open_issues,gh_watchers,gh_language,gh_created_at,gh_updated_at,gh_pushed_at,gh_default_branch,gh_license,gh_archived,gh_size_kb
https://github.com/Alluxio/alluxio,Alluxio Inc.,Alluxio,Big Data Processing,9096,4153,2152,832,7172,2948,1039,433,Java,2012-12-21T17:43:46Z,2026-03-30T00:00:46Z,2025-04-29T16:46:58Z,main,Apache-2.0,False,205633
https://github.com/Ametys/runtime,Ametys,Ametys,Web Content Management Systems,535,0,311,0,1,0,0,2,CSS,2016-11-16T19:06:43Z,2016-11-17T09:26:18Z,2016-11-16T19:18:27Z,master,Apache-2.0,False,79746
https://github.com/Automattic/jetpack,Jetpack,JetPack,Other Web Tools & Plugins,286504,158942,179352,78568,1795,865,2686,212,PHP,2013-12-16T16:43:01Z,2026-03-30T17:35:56Z,2026-03-30T17:43:49Z,trunk,NOASSERTION,False,701735
https://github.com/Automattic/liveblog,WordPress,Liveblog,Application Development Tools,4,1,4,1,314,124,31,132,PHP,2012-06-04T03:14:54Z,2026-03-30T12:15:29Z,2026-03-30T12:15:27Z,develop,GPL-2.0,False,45530
https://github.com/CONTENIDO/CONTENIDO,four for business AG,CONTENIDO,Web Content Management Systems,1257,38,1027,12,17,12,40,8,PHP,2019-09-07T10:37:39Z,2026-03-28T09:22:55Z,2026-03-28T09:22:51Z,develop,NOASSERTION,False,51756
https://github.com/Cacti/cacti,The Cacti Group Inc.,Cacti,IT Infrastructure & Ops Management,26333,15973,4302,1264,1815,438,207,119,PHP,2015-01-19T05:36:15Z,2026-03-30T03:16:24Z,2026-03-30T17:22:57Z,develop,GPL-2.0,False,301314
https://github.com/Countly/countly-server,Countly,Countly,Web Analytics,2426,346,1249,155,5841,980,37,213,JavaScript,2012-05-28T18:48:40Z,2026-03-30T08:22:54Z,2026-03-30T11:00:43Z,master,NOASSERTION,False,744127
https://github.com/EC-CUBE/ec-cube,ec-cube.net,EC-CUBE,E-Commerce Platform/Software,1517,9,1436,9,784,711,505,89,PHP,2014-11-28T02:58:26Z,2026-03-30T03:49:31Z,2026-03-30T02:52:47Z,4.3,NOASSERTION,False,198676
https://github.com/Exim/exim,EXIM,Mail Server,Email Software,252,62,117,27,780,189,26,69,C,2011-11-18T10:56:08Z,2026-03-29T18:27:46Z,2025-12-29T00:15:32Z,master,,True,86671
https://github.com/ExpressionEngine/ExpressionEngine,EllisLab,EllisLab ExpressionEngine,Web Content Management Systems,45542,34898,16978,9888,499,132,426,27,PHP,2018-11-12T23:49:23Z,2026-03-30T06:10:25Z,2026-03-30T12:32:37Z,7.dev,NOASSERTION,False,366163
https://github.com/Fantomas42/django-blog-zinnia,Django Blog Zinnia,Zinnia,Website Builders,2,0,2,0,2133,726,39,127,Python,2009-07-13T14:58:26Z,2026-03-25T15:35:12Z,2024-05-03T19:19:17Z,develop,BSD-3-Clause,False,7990
https://github.com/GetSimpleCMS/GetSimpleCMS,get-simple.info,GetSimple CMS,Web Content Management Systems,1250,812,548,186,418,120,322,59,PHP,2012-11-02T12:22:00Z,2026-03-12T08:45:14Z,2025-03-21T03:55:07Z,master,GPL-3.0,False,47173
https://github.com/HotcakesCommerce/hotcakes-commerce-core,Arrow Digital,Hotcakes,E-Commerce Platform/Software,62,29,56,24,69,56,97,16,C#,2017-06-08T16:15:56Z,2025-07-09T05:46:44Z,2025-04-03T15:07:15Z,development,MIT,False,476944
https://github.com/Icinga/icinga2,Icinga,Icinga,IT Infrastructure & Ops Management,45979,24644,13096,6677,2180,601,465,118,C++,2013-08-28T18:02:06Z,2026-03-27T09:22:04Z,2026-03-30T15:09:19Z,master,GPL-3.0,False,61690
https://github.com/ImpressCMS/impresscms,ImpressCMS,ImpressCMS,Web Content Management Systems,22,3,21,2,29,32,57,9,PHP,2015-07-24T09:30:52Z,2026-03-28T09:07:02Z,2026-03-28T09:06:53Z,main,,False,80887
https://github.com/Indexhibit/indexhibit,Indexhibit,Indexhibit,Web Content Management Systems,13,5,11,5,353,69,11,53,PHP,2016-06-07T21:06:00Z,2026-03-29T15:20:52Z,2024-03-27T09:33:50Z,master,,False,1866
https://github.com/Jahia/jahia,Jahia,Jahia,Web Content Management Systems,19445,11016,4763,1712,48,34,0,21,Java,2016-07-12T14:46:07Z,2026-03-25T17:45:09Z,2026-03-25T17:45:05Z,master,,False,406774
https://github.com/LiveHelperChat/livehelperchat,Live Helper,Live Helper Chat,Live Chats,4427,843,2851,273,2205,736,136,170,PHP,2012-12-08T14:58:36Z,2026-03-30T13:50:06Z,2026-03-30T13:49:48Z,master,Apache-2.0,False,399400
https://github.com/MariaDB/server,MariaDB,MariaDB,Database Management,208073,109837,53532,15143,7381,2027,334,269,C++,2014-05-15T10:58:50Z,2026-03-30T17:35:50Z,2026-03-30T17:15:51Z,main,GPL-2.0,False,1630904
https://github.com/MasaCMS/MasaCMS,Blue River Interactive Group,Mura CMS,Web Content Management Systems,44498,37694,9584,6424,79,37,24,20,ColdFusion,2021-07-26T18:21:53Z,2026-03-23T09:47:07Z,2025-12-08T12:40:01Z,main,GPL-2.0,False,88854
https://github.com/Modernizr/Modernizr,Modernizr,Modernizr,Frameworks & Libraries,3109589,1415886,1634842,574789,25667,2948,193,867,JavaScript,2009-09-25T20:13:23Z,2026-03-30T13:16:40Z,2026-03-27T04:11:46Z,master,MIT,False,20535
https://github.com/NLnetLabs/nsd,NLnet Labs,NSD,Server,2,0,2,0,544,117,61,21,C,2017-06-13T10:01:17Z,2026-03-25T15:15:04Z,2026-03-25T08:24:45Z,master,BSD-3-Clause,False,204724
https://github.com/NLnetLabs/unbound,NLnet Labs,Unbound,Server,2,0,2,0,4371,431,352,65,C,2017-06-13T09:27:49Z,2026-03-30T14:16:03Z,2026-03-30T14:23:30Z,master,BSD-3-Clause,False,101783
https://github.com/NagiosEnterprises/nagioscore,Nagios Enterprises,Nagios,IT Infrastructure & Ops Management,422391,262709,90339,42572,1973,473,202,107,C,2014-01-21T21:33:23Z,2026-03-29T21:54:44Z,2026-03-25T14:24:55Z,master,GPL-2.0,False,27586
https://github.com/NetBSD/src,netBSD,netBSD,Operating System,1837,804,324,141,907,347,16,45,C,2017-04-16T20:03:43Z,2026-03-30T05:13:00Z,2026-03-27T18:52:10Z,trunk,,False,3322067
https://github.com/NodeBB/NodeBB,NodeBB,NodeBB,Software as a Service,424,53,185,44,15033,2941,181,356,JavaScript,2013-04-22T16:49:40Z,2026-03-30T13:45:15Z,2026-03-30T16:03:20Z,master,GPL-3.0,False,104966
https://github.com/OXID-eSales/oxideshop_ce,Oxid,Oxid,E-Commerce Platform/Software,430360,335456,100112,57628,238,199,4,55,PHP,2013-04-08T09:08:00Z,2026-03-30T11:50:53Z,2026-03-30T15:03:19Z,b-8.0.x,NOASSERTION,False,163424
https://github.com/Open-Web-Analytics/Open-Web-Analytics,Open Web Analytics,Open Web Analytics,Web Analytics,18040,9232,10658,4275,2655,484,117,110,PHP,2012-04-01T07:53:45Z,2026-03-28T20:56:45Z,2026-02-28T03:03:59Z,master,GPL-2.0,False,17038
https://github.com/OpenPrinting/cups,Apple,CUPS,Server,1398,1036,184,106,1552,276,47,31,C,2020-09-03T19:43:01Z,2026-03-30T15:15:02Z,2026-03-30T17:42:15Z,master,Apache-2.0,False,122695
https://github.com/OpenTSDB/opentsdb,OpenTSDB,OpenTSDB,Database Management,17921,10891,3035,1224,5064,1239,537,323,Java,2010-08-27T02:05:20Z,2026-03-20T04:29:10Z,2024-12-12T20:03:34Z,master,LGPL-2.1,False,41493
https://github.com/OrchardCMS/OrchardCore,NET FOUNDATION,Orchard CMS,Web Content Management Systems,33680,23421,6324,2487,8056,2555,926,331,C#,2014-11-19T22:29:26Z,2026-03-30T12:46:27Z,2026-03-30T16:59:25Z,main,BSD-3-Clause,False,290759
https://github.com/Orckestra/C1-CMS-Foundation,Orckestra Inc,C1 CMS,Web Content Management Systems,2311,1292,1077,459,260,109,256,54,C#,2015-09-25T12:47:08Z,2026-02-26T19:46:34Z,2025-12-19T11:46:47Z,dev,NOASSERTION,False,70232
https://github.com/PHPFusion/PHPFusion,php-fusion.co.uk,PHP-Fusion,Web Content Management Systems,5,3,4,2,119,115,33,43,PHP,2014-09-12T16:09:39Z,2026-03-30T15:43:22Z,2026-03-30T15:43:18Z,10.00.00-dev,AGPL-3.0,False,133636
https://github.com/Perl/perl5,Perl,Perl,Programming Languages,842162,515497,247929,107372,2251,616,2374,23,Perl,2013-02-13T17:10:40Z,2026-03-30T02:12:11Z,2026-03-29T21:57:39Z,blead,NOASSERTION,False,368735
https://github.com/PowerDNS/pdns,PowerDNS,DNS Server,Infrastructure as a Service,1761,1573,248,190,4330,994,934,127,C++,2013-04-26T11:16:49Z,2026-03-30T14:59:45Z,2026-03-30T15:04:28Z,master,GPL-2.0,False,107155
https://github.com/PrestaShop/PrestaShop,PrestaShop,Commerce Software,E-Commerce Platform/Software,60547,9288,35570,2480,9028,5035,2440,443,PHP,2012-11-19T16:41:31Z,2026-03-30T15:23:25Z,2026-03-30T16:09:45Z,develop,NOASSERTION,False,788242
https://github.com/Redocly/redoc,GitHub,ReDoc,Application Development Tools,2393,1612,562,304,25587,2388,435,296,TypeScript,2015-10-30T12:53:02Z,2026-03-30T16:53:40Z,2026-02-07T06:18:05Z,main,MIT,False,62450
https://github.com/SeleniumHQ/selenium,Selenium,Selenium,Application Development Tools,836590,495828,202659,87615,34167,8668,198,1259,Java,2013-01-14T21:40:56Z,2026-03-30T17:05:00Z,2026-03-30T16:13:13Z,trunk,Apache-2.0,False,2332383
https://github.com/SeleniumHQ/selenium-ide,Selenium HQ,Selenium IDE,Application Development Tools,836590,495828,202659,87615,3093,839,452,160,TypeScript,2017-08-08T11:37:00Z,2026-03-30T10:20:03Z,2026-02-06T07:28:57Z,trunk,Apache-2.0,False,34069
https://github.com/Semantic-Org/Semantic-UI,Semantic UI,Semantic-ui,Frameworks & Libraries,63105,35065,18634,5856,51120,4891,1074,1274,JavaScript,2013-04-08T23:32:04Z,2026-03-30T09:36:16Z,2024-11-27T21:01:48Z,master,MIT,False,113201
https://github.com/SimpleMachines/SMF,Simple Machines,Simple Machines Forum,Software as a Service,1941,937,978,390,714,270,139,64,PHP,2012-01-24T16:36:19Z,2026-03-28T13:15:07Z,2026-03-21T16:56:04Z,release-3.0,NOASSERTION,False,73586
