project,critical,high,medium,low,components,vulnerabilities,product,vendor,repo_url,VendorName,Product,ProductCategory,Total Sites,US Sites,Total Enterprises,Enterprises in US,gh_stars,gh_forks,gh_open_issues,gh_watchers,gh_language,gh_created_at,gh_updated_at,gh_pushed_at,gh_default_branch,gh_license,gh_archived,gh_size_kb,gh_size_gb
Alluxio_Inc_-Alluxio.cdx,2,10,2,0,498,14,Alluxio,Alluxio Inc.,https://github.com/Alluxio/alluxio,Alluxio Inc.,Alluxio,Big Data Processing,9096.0,4153.0,2152.0,832.0,7173.0,2948.0,1039.0,433.0,Java,2012-12-21T17:43:46Z,2026-03-28T15:00:16Z,2025-04-29T16:46:58Z,main,Apache-2.0,False,205633.0,0.1961069107055664
BuddyPress-BuddyPress.cdx,0,0,0,0,7,0,BuddyPress,BuddyPress,https://github.com/buddypress/buddypress,BuddyPress,BuddyPress,Software as a Service,32934.0,23231.0,12415.0,5405.0,245.0,172.0,19.0,28.0,PHP,2013-04-13T11:56:03Z,2026-03-28T02:40:33Z,2026-01-26T19:28:07Z,master,,False,77112.0,0.0735397338867187
Citrix_Systems_Inc-CloudStack.cdx,4,19,10,1,1157,34,CloudStack,Citrix Systems Inc,https://github.com/apache/cloudstack,Citrix Systems Inc,CloudStack,Infrastructure as a Service,21241.0,12123.0,6683.0,4899.0,2849.0,1291.0,695.0,144.0,Java,2013-04-29T22:27:12Z,2026-03-27T20:15:34Z,2026-03-27T21:45:31Z,main,Apache-2.0,False,656379.0,0.625971794128418
Civilized_Discourse_Construction_Kit_Inc_-Discourse.cdx,1,2,2,2,2439,7,Discourse,Civilized Discourse Construction Kit Inc.,https://github.com/discourse/discourse,Civilized Discourse Construction Kit Inc.,Discourse,Software as a Service,15417.0,6701.0,9443.0,2777.0,46651.0,8860.0,173.0,881.0,Ruby,2013-01-12T00:25:55Z,2026-03-29T23:17:18Z,2026-03-29T23:40:18Z,main,GPL-2.0,False,875614.0,0.8350505828857422
EXIM-Mail_Server.cdx,0,0,0,0,0,0,Mail Server,EXIM,https://github.com/Exim/exim,EXIM,Mail Server,Email Software,252.0,62.0,117.0,27.0,780.0,189.0,26.0,69.0,C,2011-11-18T10:56:08Z,2026-03-29T18:27:46Z,2025-12-29T00:15:32Z,master,,True,86671.0,0.0826559066772461
Eucalyptus_Systems-Eucalyptus_Systems.cdx,0,0,1,0,10,1,Eucalyptus Systems,Eucalyptus Systems,https://github.com/eucalyptus/eucalyptus,Eucalyptus Systems,Eucalyptus Systems,Infrastructure as a Service,26227.0,19722.0,3058.0,1386.0,861.0,264.0,0.0,113.0,Java,2011-05-24T20:36:49Z,2026-03-17T07:08:36Z,2021-07-21T20:42:24Z,master,NOASSERTION,True,115651.0,0.1102933883666992
FACEBOOK-Presto.cdx,0,9,4,2,1668,15,Presto,FACEBOOK,https://github.com/prestodb/presto,FACEBOOK,Presto,Big Data Processing,143057.0,98318.0,22940.0,11374.0,16668.0,5532.0,2841.0,826.0,Java,2012-08-09T01:03:37Z,2026-03-28T01:59:34Z,2026-03-27T22:43:55Z,master,Apache-2.0,False,272978.0,0.2603321075439453
ISC-BIND.cdx,0,0,0,0,14,0,BIND,ISC,https://github.com/isc-projects/bind9,ISC,BIND,Infrastructure as a Service,89316.0,59418.0,21865.0,9245.0,737.0,172.0,0.0,19.0,C,2017-11-27T19:09:20Z,2026-03-29T18:39:30Z,2025-08-06T12:40:45Z,main,MPL-2.0,True,420034.0,0.4005756378173828
Kaltura-Kaltura.cdx,0,0,0,0,4,0,Kaltura,Kaltura,https://github.com/kaltura/server,Kaltura,Kaltura,Software as a Service,88527.0,62166.0,29772.0,17215.0,400.0,183.0,356.0,88.0,PHP,2013-07-12T08:59:26Z,2026-03-25T07:39:59Z,2026-03-29T12:06:17Z,Venus-22.16.0,AGPL-3.0,False,321357.0,0.3064699172973633
Lavabit-Lavabit_Enterprise_Solutions.cdx,0,0,0,0,0,0,Lavabit Enterprise Solutions,Lavabit,https://github.com/lavabit/magma,Lavabit,Lavabit Enterprise Solutions,Email Software,1.0,0.0,1.0,0.0,1838.0,165.0,49.0,113.0,C,2014-12-23T01:27:17Z,2026-03-26T19:19:56Z,2025-03-06T05:12:37Z,develop,AGPL-3.0,False,586409.0,0.5592432022094727
