VendorName,Product,ProductCategory,IsOpenSource,GitHubLink
AppNexus,AppNexus,Ad Exchanges,No,
Rubicon Project,Rubicon Project,Ad Exchanges,No,
Index Exchange,Index Exchange,Ad Exchanges,No,
OpenX,OpenX,Ad Exchanges,No,
BidSwitch,BidSwitch,Ad Exchanges,No,
Google,Google DoubleClick,Ad Exchanges,No,
AdBrite,AdBrite,Ad Exchanges,No,
Open AdStream,Open AdStream,Ad Exchanges,No,
district m,district M,Ad Exchanges,No,
PulsePoint,PulsePoint,Ad Exchanges,No,
bRealTime,bRealtime,Ad Exchanges,No,
PLYmedia,ADK2,Ad Exchanges,No,
Zedo,Zedo,Ad Serving,No,
Flashtalking Inc.,Flashtalking Activate,Ad Serving,No,
Adform,Adform,Ad Serving,No,
Sizmek,Sizmek,Ad Serving,No,
Samsung,AdGear,Ad Serving,No,
Eyereturn Marketing,Eyereturn Marketing,Ad Serving,No,
Smart AdServer,Smart AdServer,Ad Serving,No,
MicroAd,MicroAd,Ad Serving,No,
Neodata Group,Neodata,Ad Serving,No,
MediaV,MediaV,Ad Serving,No,
Adzerk,Adzerk,Ad Serving,No,
NEORY GmbH,Neory,Ad Serving,No,
Switch Concepts Ltd,Switch Concepts,Ad Serving,No,
AdSpeed.com Ad Server,AdSpeed,Ad Serving,No,
Verizon Media,ONE by AOL Ad Server,Ad Serving,No,
iBILLBOARD,iBILLBOARD,Ad Serving,No,
DotAndMedia,Dot&Media,Ad Serving,No,
Cxense ASA,Cxense Display,Ad Serving,No,
Tagcade,Pubvantage,Ad Serving,No,
EPOM,Epom,Ad Serving,No,
Thoughtleadr,Thoughtleadr,Ad Serving,No,
Moat,Moat,Ad Verification & Optimization,No,
comScore,AdXpose,Ad Verification & Optimization,No,
Sortable,Sortable,Ad Verification & Optimization,No,
Tv Squared Ltd,TVSquared,Ad Verification & Optimization,No,
Integral Ad Science Inc.,Integral Ad Science,Ad Verification & Optimization,No,
Mediavine,MediaVine,Ad Verification & Optimization,No,
Kantar Millward Brown Inc.,Dynamic Logic,Ad Verification & Optimization,No,
Adobe Systems Inc.,Adobe Media Optimizer,Ad Verification & Optimization,No,
HasOffers,HasOffers,Ad Verification & Optimization,No,
DoubleVerify,DoubleVerify,Ad Verification & Optimization,No,
OneSoon Ltd,Adalyser,Ad Verification & Optimization,No,
LOCKON CO. LTD.,AD EBiS,Ad Verification & Optimization,No,
The Nielsen Company (US) LLC.,Vizu,Ad Verification & Optimization,No,
Realytics,Realytics,Ad Verification & Optimization,No,
Yieldex,Yieldex,Ad Verification & Optimization,No,
Tru Measure,Tru Measure,Ad Verification & Optimization,No,
Tv Squared Ltd,wywy,Ad Verification & Optimization,No,
CyberAgent Inc ADR,CyberAgent CAMP,Ad Verification & Optimization,No,
Nudge Analytics,Nudge,Ad Verification & Optimization,No,
AdPushup Software (P) Limited,AdPushup,Ad Verification & Optimization,No,
Adloox,Adloox,Ad Verification & Optimization,No,
Awio Web Services,Improvely,Ad Verification & Optimization,No,
Pagefair Ltd,PageFair,Ad Verification & Optimization,No,
AcuityAds Inc,Visible Measures,Ad Verification & Optimization,No,
Ezoic,Ezoic,Ad Verification & Optimization,No,
ADTHRIVE LLC,AdThrive,Ad Verification & Optimization,No,
Kantar Millward Brown Inc.,InsightExpress iCompass,Ad Verification & Optimization,No,
beBit Inc.,WebAntenna,Ad Verification & Optimization,No,
Meetrics,Meetrics,Ad Verification & Optimization,No,
Forensiq,ForensIQ,Ad Verification & Optimization,No,
Fraudlogix,Fraudlogix,Ad Verification & Optimization,No,
Centerfield Media,Centerfield Dugout,Ad Verification & Optimization,No,
Komoona,Komoona,Ad Verification & Optimization,No,
AdStage Inc.,AdStage,Ad Verification & Optimization,No,
Aderz Ltd.,Uponit,Ad Verification & Optimization,No,
Jerico Solutions LLC,ClickProtector,Ad Verification & Optimization,No,
77Agency,77Tracking,Ad Verification & Optimization,No,
admetrics GmbH,AdMetrics,Ad Verification & Optimization,No,
AdNgin,AdNgin,Ad Verification & Optimization,No,
Google,Google Ads,Advertising Networks,No,
Google,Google AdSense,Advertising Networks,No,
Dotomi,Dotomi,Advertising Networks,No,
Verizon Media,Advertising.com,Advertising Networks,No,
Exponential Interactive inc,Exponential,Advertising Networks,No,
ProclivityMedia,ProclivityMedia,Advertising Networks,No,
Media.net,Media.net,Advertising Networks,No,
Microsoft,Bing Ads,Advertising Networks,No,
Marchex,Marchex,Advertising Networks,No,
A9.com Inc.,A9 Advertising Technology,Advertising Networks,No,
Conversant,Conversant,Advertising Networks,No,
Bizo,Bizo,Advertising Networks,No,
Exponential Interactive inc,TribalFusion,Advertising Networks,No,
Lijit,Lijit,Advertising Networks,No,
Collective Media Inc.,Collective Media,Advertising Networks,No,
TradeDoubler,TradeDoubler,Advertising Networks,No,
NA,Gumgum,Advertising Networks,No,
LiveIntent Inc.,LiveIntent,Advertising Networks,No,
NA,Infolinks,Advertising Networks,No,
Yieldmo,Yieldmo,Advertising Networks,No,
Technorati,Technorati,Advertising Networks,No,
Undertone Inc.,Undertone,Advertising Networks,No,
Sonobi Media,Sonobi,Advertising Networks,No,
Amobee,Adconion,Advertising Networks,No,
interclick,Interclick,Advertising Networks,No,
Adwerx Inc,Adwerx,Advertising Networks,No,
Chitika Inc.,Chitika,Advertising Networks,No,
Say Media,Say Media,Advertising Networks,No,
Sportority Limited,Minute Media,Advertising Networks,No,
BuySellAds.com Inc.,BuySellAds,Advertising Networks,No,
Carbon Ads,Carbon Ads,Advertising Networks,No,
FederatedMedia,FederatedMedia,Advertising Networks,No,
