VendorName,Product,ProductId,TabKeyNewId,ProductSeries,ProductCategory,Total Sites,US Sites,Total Enterprises,Enterprises in US
AppNexus,AppNexus,4611,4907,Advertising,Ad Exchanges,"696,761","471,708","257,895","130,146"
AppNexus,AppNexus,4611,4907,Advertising,Ad Exchanges,"696,761","471,708","257,895","130,146"
Rubicon Project,Rubicon Project,8884,8854,Advertising,Ad Exchanges,"422,904","314,222","155,991","84,481"
Rubicon Project,Rubicon Project,8884,8854,Advertising,Ad Exchanges,"422,904","314,222","155,991","84,481"
Index Exchange,Index Exchange,12004,11983,Advertising,Ad Exchanges,"221,370","151,685","86,526","48,419"
Index Exchange,Index Exchange,12004,11983,Advertising,Ad Exchanges,"221,370","151,685","86,526","48,419"
OpenX,OpenX,4574,1713,Advertising,Ad Exchanges,"176,306","115,883","71,574","39,452"
OpenX,OpenX,4574,1713,Advertising,Ad Exchanges,"176,306","115,883","71,574","39,452"
BidSwitch,BidSwitch,10591,10570,Advertising,Ad Exchanges,"150,747","107,405","62,749","33,490"
BidSwitch,BidSwitch,10591,10570,Advertising,Ad Exchanges,"150,747","107,405","62,749","33,490"
Google,Google DoubleClick,2384,26,Advertising,Ad Exchanges,"110,226","75,548","31,705","18,580"
Google,Google DoubleClick,2384,26,Advertising,Ad Exchanges,"110,226","75,548","31,705","18,580"
AdBrite,AdBrite,8631,8601,Advertising,Ad Exchanges,"26,441","23,859","3,549","2,599"
AdBrite,AdBrite,8631,8601,Advertising,Ad Exchanges,"26,441","23,859","3,549","2,599"
Open AdStream,Open AdStream,5236,6369,Advertising,Ad Exchanges,"26,432","18,485","8,994","3,062"
Open AdStream,Open AdStream,5236,6369,Advertising,Ad Exchanges,"26,432","18,485","8,994","3,062"
district m,district M,11372,11351,Advertising,Ad Exchanges,"5,109","2,760","3,680","1,807"
district m,district M,11372,11351,Advertising,Ad Exchanges,"5,109","2,760","3,680","1,807"
PulsePoint,PulsePoint,4674,8139,Advertising,Ad Exchanges,"3,498","2,632",583,339
PulsePoint,PulsePoint,4674,8139,Advertising,Ad Exchanges,"3,498","2,632",583,339
bRealTime,bRealtime,14764,14743,Advertising,Ad Exchanges,"1,804","1,349","1,256",908
bRealTime,bRealtime,14764,14743,Advertising,Ad Exchanges,"1,804","1,349","1,256",908
PLYmedia,ADK2,11565,11544,Advertising,Ad Exchanges,68,33,20,10
PLYmedia,ADK2,11565,11544,Advertising,Ad Exchanges,68,33,20,10
Zedo,Zedo,4618,5317,Advertising,Ad Serving,"256,303","146,788","57,089","24,814"
Zedo,Zedo,4618,5317,Advertising,Ad Serving,"256,303","146,788","57,089","24,814"
Flashtalking Inc.,Flashtalking Activate,9791,9770,Advertising,Ad Serving,"72,262","51,821","26,620","15,322"
Flashtalking Inc.,Flashtalking Activate,9791,9770,Advertising,Ad Serving,"72,262","51,821","26,620","15,322"
Adform,Adform,8633,8603,Advertising,Ad Serving,"68,435","18,129","35,320","6,168"
Adform,Adform,8633,8603,Advertising,Ad Serving,"68,435","18,129","35,320","6,168"
Sizmek,Sizmek,4587,3060,Advertising,Ad Serving,"29,133","12,051","7,526","4,100"
Sizmek,Sizmek,4587,3060,Advertising,Ad Serving,"29,133","12,051","7,526","4,100"
Samsung,AdGear,9441,9420,Advertising,Ad Serving,"13,266","6,395","7,512","3,797"
Samsung,AdGear,9441,9420,Advertising,Ad Serving,"13,266","6,395","7,512","3,797"
Eyereturn Marketing,Eyereturn Marketing,11669,11648,Advertising,Ad Serving,"10,097","3,667","4,954",732
Eyereturn Marketing,Eyereturn Marketing,11669,11648,Advertising,Ad Serving,"10,097","3,667","4,954",732
Smart AdServer,Smart AdServer,11307,11286,Advertising,Ad Serving,"8,121","2,047","4,821","1,055"
Smart AdServer,Smart AdServer,11307,11286,Advertising,Ad Serving,"8,121","2,047","4,821","1,055"
MicroAd,MicroAd,11233,11212,Advertising,Ad Serving,"7,867","1,954","4,125",226
MicroAd,MicroAd,11233,11212,Advertising,Ad Serving,"7,867","1,954","4,125",226
Neodata Group,Neodata,14456,14435,Advertising,Ad Serving,"5,100","4,505","3,650","3,239"
Neodata Group,Neodata,14456,14435,Advertising,Ad Serving,"5,100","4,505","3,650","3,239"
MediaV,MediaV,11219,11198,Advertising,Ad Serving,"4,942",12,"4,154",12
MediaV,MediaV,11219,11198,Advertising,Ad Serving,"4,942",12,"4,154",12
Adzerk,Adzerk,4654,7292,Advertising,Ad Serving,"3,433","2,865","1,790","1,401"
Adzerk,Adzerk,4654,7292,Advertising,Ad Serving,"3,433","2,865","1,790","1,401"
NEORY GmbH,Neory,11254,11233,Advertising,Ad Serving,"3,138",227,"2,561",88
NEORY GmbH,Neory,11254,11233,Advertising,Ad Serving,"3,138",227,"2,561",88
Switch Concepts Ltd,Switch Concepts,11603,11582,Advertising,Ad Serving,"2,311",982,"1,997",703
Switch Concepts Ltd,Switch Concepts,11603,11582,Advertising,Ad Serving,"2,311",982,"1,997",703
AdSpeed.com Ad Server,AdSpeed,8638,8608,Advertising,Ad Serving,"1,135",944,811,692
AdSpeed.com Ad Server,AdSpeed,8638,8608,Advertising,Ad Serving,"1,135",944,811,692
Verizon Media,ONE by AOL Ad Server,12147,12126,Advertising,Ad Serving,818,714,119,28
Verizon Media,ONE by AOL Ad Server,12147,12126,Advertising,Ad Serving,818,714,119,28
iBILLBOARD,iBILLBOARD,13593,13572,Advertising,Ad Serving,244,25,207,24
iBILLBOARD,iBILLBOARD,13593,13572,Advertising,Ad Serving,244,25,207,24
DotAndMedia,Dot&Media,12326,12305,Advertising,Ad Serving,20,1,13,1
DotAndMedia,Dot&Media,12326,12305,Advertising,Ad Serving,20,1,13,1
Cxense ASA,Cxense Display,11507,11486,Advertising,Ad Serving,17,0,7,0
Cxense ASA,Cxense Display,11507,11486,Advertising,Ad Serving,17,0,7,0
Tagcade,Pubvantage,12851,12830,Advertising,Ad Serving,7,6,7,6
Tagcade,Pubvantage,12851,12830,Advertising,Ad Serving,7,6,7,6
EPOM,Epom,10869,10848,Advertising,Ad Serving,6,2,5,2
EPOM,Epom,10869,10848,Advertising,Ad Serving,6,2,5,2
Thoughtleadr,Thoughtleadr,11128,11107,Advertising,Ad Serving,4,1,2,1
Thoughtleadr,Thoughtleadr,11128,11107,Advertising,Ad Serving,4,1,2,1
Moat,Moat,8808,8778,Advertising,Ad Verification & Optimization,"367,030","231,714","130,301","61,683"
Moat,Moat,8808,8778,Advertising,Ad Verification & Optimization,"367,030","231,714","130,301","61,683"
comScore,AdXpose,9467,9446,Advertising,Ad Verification & Optimization,"168,893","103,051","68,638","31,936"
comScore,AdXpose,9467,9446,Advertising,Ad Verification & Optimization,"168,893","103,051","68,638","31,936"
Sortable,Sortable,12060,12039,Advertising,Ad Verification & Optimization,"39,488","18,555","25,733","9,988"
Sortable,Sortable,12060,12039,Advertising,Ad Verification & Optimization,"39,488","18,555","25,733","9,988"
Tv Squared Ltd,TVSquared,11713,11692,Advertising,Ad Verification & Optimization,"34,278","27,835","13,666","10,029"
Tv Squared Ltd,TVSquared,11713,11692,Advertising,Ad Verification & Optimization,"34,278","27,835","13,666","10,029"
Integral Ad Science Inc.,Integral Ad Science,11292,11271,Advertising,Ad Verification & Optimization,"23,737","15,037","12,084","5,383"
Integral Ad Science Inc.,Integral Ad Science,11292,11271,Advertising,Ad Verification & Optimization,"23,737","15,037","12,084","5,383"
Mediavine,MediaVine,14726,14705,Advertising,Ad Verification & Optimization,"18,365","11,634","7,414","2,758"
Mediavine,MediaVine,14726,14705,Advertising,Ad Verification & Optimization,"18,365","11,634","7,414","2,758"
Kantar Millward Brown Inc.,Dynamic Logic,14637,14616,Advertising,Ad Verification & Optimization,"14,677","12,809","1,494",820
Kantar Millward Brown Inc.,Dynamic Logic,14637,14616,Advertising,Ad Verification & Optimization,"14,677","12,809","1,494",820
Adobe Systems Inc.,Adobe Media Optimizer,4721,1866,Advertising,Ad Verification & Optimization,"14,311","9,957","1,946",874
Adobe Systems Inc.,Adobe Media Optimizer,4721,1866,Advertising,Ad Verification & Optimization,"14,311","9,957","1,946",874
HasOffers,HasOffers,4612,4909,Advertising,Ad Verification & Optimization,"13,007","9,548","3,899","1,833"
HasOffers,HasOffers,4612,4909,Advertising,Ad Verification & Optimization,"13,007","9,548","3,899","1,833"
DoubleVerify,DoubleVerify,11297,11276,Advertising,Ad Verification & Optimization,"10,593","7,672","4,656","2,291"
DoubleVerify,DoubleVerify,11297,11276,Advertising,Ad Verification & Optimization,"10,593","7,672","4,656","2,291"
OneSoon Ltd,Adalyser,13138,13117,Advertising,Ad Verification & Optimization,"8,454",630,"5,691",307
OneSoon Ltd,Adalyser,13138,13117,Advertising,Ad Verification & Optimization,"8,454",630,"5,691",307
LOCKON CO. LTD.,AD EBiS,11029,11008,Advertising,Ad Verification & Optimization,"8,362","5,183","5,881","3,568"
LOCKON CO. LTD.,AD EBiS,11029,11008,Advertising,Ad Verification & Optimization,"8,362","5,183","5,881","3,568"
The Nielsen Company (US) LLC.,Vizu,13736,13715,Advertising,Ad Verification & Optimization,"5,313","4,596",650,343
The Nielsen Company (US) LLC.,Vizu,13736,13715,Advertising,Ad Verification & Optimization,"5,313","4,596",650,343
Realytics,Realytics,12340,12319,Advertising,Ad Verification & Optimization,"3,625",84,"2,206",42
Realytics,Realytics,12340,12319,Advertising,Ad Verification & Optimization,"3,625",84,"2,206",42
Yieldex,Yieldex,4580,2059,Advertising,Ad Verification & Optimization,"3,540","2,713",620,434
Yieldex,Yieldex,4580,2059,Advertising,Ad Verification & Optimization,"3,540","2,713",620,434
Tru Measure,Tru Measure,14629,14608,Advertising,Ad Verification & Optimization,"2,654","2,541","1,307","1,207"
Tru Measure,Tru Measure,14629,14608,Advertising,Ad Verification & Optimization,"2,654","2,541","1,307","1,207"
Tv Squared Ltd,wywy,12298,12277,Advertising,Ad Verification & Optimization,"1,818","1,506",429,190
Tv Squared Ltd,wywy,12298,12277,Advertising,Ad Verification & Optimization,"1,818","1,506",429,190
CyberAgent Inc ADR,CyberAgent CAMP,13914,13893,Advertising,Ad Verification & Optimization,"1,113",413,125,37
CyberAgent Inc ADR,CyberAgent CAMP,13914,13893,Advertising,Ad Verification & Optimization,"1,113",413,125,37
Nudge Analytics,Nudge,13832,13811,Advertising,Ad Verification & Optimization,"1,016",922,710,639
Nudge Analytics,Nudge,13832,13811,Advertising,Ad Verification & Optimization,"1,016",922,710,639
AdPushup Software (P) Limited,AdPushup,12676,12655,Advertising,Ad Verification & Optimization,"1,004",92,714,65
AdPushup Software (P) Limited,AdPushup,12676,12655,Advertising,Ad Verification & Optimization,"1,004",92,714,65
Adloox,Adloox,11304,11283,Advertising,Ad Verification & Optimization,985,292,794,194
Adloox,Adloox,11304,11283,Advertising,Ad Verification & Optimization,985,292,794,194
Awio Web Services,Improvely,10928,10907,Advertising,Ad Verification & Optimization,976,539,785,426
Awio Web Services,Improvely,10928,10907,Advertising,Ad Verification & Optimization,976,539,785,426
Pagefair Ltd,PageFair,14425,14404,Advertising,Ad Verification & Optimization,951,606,460,145
Pagefair Ltd,PageFair,14425,14404,Advertising,Ad Verification & Optimization,951,606,460,145
AcuityAds Inc,Visible Measures,11132,11111,Advertising,Ad Verification & Optimization,843,434,345,184
AcuityAds Inc,Visible Measures,11132,11111,Advertising,Ad Verification & Optimization,843,434,345,184
Ezoic,Ezoic,14712,14691,Advertising,Ad Verification & Optimization,810,402,715,342
Ezoic,Ezoic,14712,14691,Advertising,Ad Verification & Optimization,810,402,715,342
ADTHRIVE LLC,AdThrive,15648,15627,Advertising,Ad Verification & Optimization,763,458,606,310
ADTHRIVE LLC,AdThrive,15648,15627,Advertising,Ad Verification & Optimization,763,458,606,310
Kantar Millward Brown Inc.,InsightExpress iCompass,11467,11446,Advertising,Ad Verification & Optimization,670,665,23,20
Kantar Millward Brown Inc.,InsightExpress iCompass,11467,11446,Advertising,Ad Verification & Optimization,670,665,23,20
beBit Inc.,WebAntenna,13856,13835,Advertising,Ad Verification & Optimization,629,88,396,36
beBit Inc.,WebAntenna,13856,13835,Advertising,Ad Verification & Optimization,629,88,396,36
Meetrics,Meetrics,11182,11161,Advertising,Ad Verification & Optimization,531,88,363,79
Meetrics,Meetrics,11182,11161,Advertising,Ad Verification & Optimization,531,88,363,79
Forensiq,ForensIQ,11329,11308,Advertising,Ad Verification & Optimization,318,114,184,81
Forensiq,ForensIQ,11329,11308,Advertising,Ad Verification & Optimization,318,114,184,81
Fraudlogix,Fraudlogix,15413,15392,Advertising,Ad Verification & Optimization,307,92,227,71
Fraudlogix,Fraudlogix,15413,15392,Advertising,Ad Verification & Optimization,307,92,227,71
Centerfield Media,Centerfield Dugout,13899,13878,Advertising,Ad Verification & Optimization,184,175,61,52
Centerfield Media,Centerfield Dugout,13899,13878,Advertising,Ad Verification & Optimization,184,175,61,52
