project,component,version,group,purl
Alluxio_Inc_-Alluxio.cdx,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Alluxio_Inc_-Alluxio/.github/workflows/checkstyle.yml,,,
Alluxio_Inc_-Alluxio.cdx,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Alluxio_Inc_-Alluxio/.github/workflows/fuse_integration_tests.yml,,,
Alluxio_Inc_-Alluxio.cdx,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Alluxio_Inc_-Alluxio/.github/workflows/java8_integration_tests.yml,,,
Alluxio_Inc_-Alluxio.cdx,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Alluxio_Inc_-Alluxio/.github/workflows/java8_integration_tests_ft.yml,,,
Alluxio_Inc_-Alluxio.cdx,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Alluxio_Inc_-Alluxio/.github/workflows/java8_integration_tests_webui.yml,,,
Alluxio_Inc_-Alluxio.cdx,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Alluxio_Inc_-Alluxio/.github/workflows/java8_unit_tests.yml,,,
Alluxio_Inc_-Alluxio.cdx,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Alluxio_Inc_-Alluxio/.github/workflows/stale.yaml,,,
Alluxio_Inc_-Alluxio.cdx,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Alluxio_Inc_-Alluxio/assembly/client/pom.xml,,,
Alluxio_Inc_-Alluxio.cdx,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Alluxio_Inc_-Alluxio/assembly/pom.xml,,,
Alluxio_Inc_-Alluxio.cdx,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Alluxio_Inc_-Alluxio/assembly/server/pom.xml,,,
Alluxio_Inc_-Alluxio.cdx,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Alluxio_Inc_-Alluxio/core/client/fs/pom.xml,,,
Alluxio_Inc_-Alluxio.cdx,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Alluxio_Inc_-Alluxio/core/client/hdfs/pom.xml,,,
Alluxio_Inc_-Alluxio.cdx,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Alluxio_Inc_-Alluxio/core/client/hdfs3/pom.xml,,,
Alluxio_Inc_-Alluxio.cdx,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Alluxio_Inc_-Alluxio/core/client/pom.xml,,,
Alluxio_Inc_-Alluxio.cdx,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Alluxio_Inc_-Alluxio/core/common/pom.xml,,,
Alluxio_Inc_-Alluxio.cdx,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Alluxio_Inc_-Alluxio/core/pom.xml,,,
