project,critical,high,medium,low,components,vulnerabilities
Alluxio_Inc_-Alluxio.cdx,2,10,2,0,498,14
BuddyPress-BuddyPress.cdx,0,0,0,0,7,0
Citrix_Systems_Inc-CloudStack.cdx,4,19,10,1,1157,34
Civilized_Discourse_Construction_Kit_Inc_-Discourse.cdx,1,2,2,2,2439,7
EXIM-Mail_Server.cdx,0,0,0,0,0,0
Eucalyptus_Systems-Eucalyptus_Systems.cdx,0,0,1,0,10,1
FACEBOOK-Presto.cdx,0,9,4,2,1668,15
ISC-BIND.cdx,0,0,0,0,14,0
Kaltura-Kaltura.cdx,0,0,0,0,4,0
Lavabit-Lavabit_Enterprise_Solutions.cdx,0,0,0,0,0,0
Live_Helper-Live_Helper_Chat.cdx,0,14,7,3,1040,24
MoinMoin_GmbH-MoinMoin.cdx,0,0,0,0,8,0
MyBB_Group-MyBB.cdx,0,0,0,0,63,0
NodeBB-NodeBB.cdx,0,0,0,0,13,0
POSTFIX-Mail_Server.cdx,0,0,0,0,0,0
PowerDNS-DNS_Server.cdx,1,1,0,0,393,2
Simple_Machines-Simple_Machines_Forum.cdx,0,0,0,0,21,0
The_Apache_Software_Foundation-Apache_Ambari.cdx,37,146,105,1,1727,289
The_Apache_Software_Foundation-Apache_Flink.cdx,0,4,1,0,666,5
The_Apache_Software_Foundation-Apache_Flume.cdx,4,5,0,0,151,9
The_Apache_Software_Foundation-Apache_Hadoop.cdx,15,64,47,0,1666,126
The_Apache_Software_Foundation-Apache_Hadoop_HDFS.cdx,15,64,47,0,1666,126
The_Apache_Software_Foundation-Apache_Hadoop_MapReduce.cdx,15,64,47,0,1666,126
The_Apache_Software_Foundation-Apache_Kafka.cdx,0,0,0,0,63,0
The_Apache_Software_Foundation-Apache_Kylin.cdx,1,0,0,0,321,1
The_Apache_Software_Foundation-Apache_NiFi.cdx,0,3,0,0,2279,3
The_Apache_Software_Foundation-Apache_Oozie.cdx,9,22,10,0,183,41
The_Apache_Software_Foundation-Apache_Phoenix.cdx,0,2,0,0,169,2
The_Apache_Software_Foundation-Apache_Pig.cdx,0,0,0,0,15,0
The_Apache_Software_Foundation-Apache_Spark.cdx,1,0,0,0,483,1
The_Apache_Software_Foundation-Apache_Spark_Streaming.cdx,1,0,0,0,483,1
The_Apache_Software_Foundation-Apache_Storm.cdx,0,0,1,0,263,1
The_Apache_Software_Foundation-Apache_Tez.cdx,20,57,33,0,879,110
The_Apache_Software_Foundation-Apache_YARN.cdx,15,64,47,0,1666,126
fluxbb_org-FluxBB.cdx,0,0,0,0,0,0
jPlayer-jPlayer.cdx,0,0,0,0,0,0
mediaelementjs_com-MediaElement_js.cdx,0,0,0,0,7,0
phpBB-phpBB.cdx,0,1,1,0,104,2
swdb_oss,0,9,4,2,1668,15
test,0,0,0,0,0,0
