Vulnerable Library,CVE Severity,Products Affected,Enterprises Exposed
twentytwentyone 2.7.0,Critical,1,2338038
form-data 2.3.3,Critical,13,1738932
handlebars 4.7.8,Critical,13,1554822
form-data 4.0.0,Critical,6,1483954
loader-utils 1.2.3,Critical,3,1478878
cipher-base 1.0.4,Critical,6,1380205
sha.js 2.4.11,Critical,6,1380205
pbkdf2 3.1.2,Critical,5,1378116
elliptic 6.5.4,Critical,3,1329919
basic-ftp 5.0.5,Critical,3,1327276
json-schema 0.2.3,Critical,6,1216683
minimist 1.2.5,Critical,4,1119132
form-data 2.1.4,Critical,4,1096732
loader-utils 1.4.0,Critical,4,1056655
eventsource 0.1.6,Critical,2,1003661
babel-traverse 6.26.0,Critical,6,1001272
loader-utils 1.1.0,Critical,3,993101
deep-extend 0.4.1,Critical,2,964615
fsevents 1.1.1,Critical,2,964615
growl 1.8.1,Critical,2,964615
lodash 4.17.4,Critical,2,964615
loader-utils 2.0.0,Critical,2,943519
loader-utils 0.2.16,Critical,2,940526
lodash 4.17.11,Critical,2,938374
pbkdf2 3.1.1,Critical,2,938374
loader-utils 0.2.17,Critical,2,937124
chrome-launcher 0.10.5,Critical,1,936285
deep-extend 0.4.2,Critical,1,936285
deep-extend 0.5.0,Critical,1,936285
elliptic 6.4.0,Critical,1,936285
eventsource 1.1.0,Critical,1,936285
form-data 2.1.2,Critical,1,936285
fsevents 1.0.17,Critical,1,936285
fsevents 1.1.2,Critical,1,936285
fsevents 1.1.3,Critical,1,936285
macaddress 0.2.8,Critical,1,936285
open 0.0.5,Critical,1,936285
pbkdf2 3.0.13,Critical,1,936285
pbkdf2 3.0.14,Critical,1,936285
sha.js 2.2.6,Critical,1,936285
sha.js 2.4.8,Critical,1,936285
sha.js 2.4.9,Critical,1,936285
shell-quote 1.7.1,Critical,1,936285
url-parse 1.0.5,Critical,1,936285
url-parse 1.1.7,Critical,1,936285
url-parse 1.1.9,Critical,1,936285
url-parse 1.2.0,Critical,1,936285
url-parse 1.5.1,Critical,1,936285
form-data 3.0.1,Critical,3,505232
j178/prek-action v1,Critical,1,392149
fast-xml-parser 5.3.0,Critical,1,386951
form-data 2.5.1,Critical,1,386951
locutus 2.0.16,Critical,1,386951
simple-git 3.21.0,Critical,1,386951
lodash 3.10.1,Critical,5,219290
minimist 1.2.0,Critical,5,219290
minimist 0.0.8,Critical,6,217507
derby 10.14.2.0,Critical,4,201867
h11 0.14.0,Critical,1,174761
pillow 10.0.1,Critical,1,174761
derby 10.16.1.1,Critical,1,170568
form-data 1.0.1,Critical,3,164626
flink-dashboard 2.0.0,Critical,1,159046
log4j-core @log4j.version@,Critical,1,159046
socket.io-parser 2.3.1,Critical,2,158358
xmlhttprequest-ssl 1.5.3,Critical,2,158358
kramdown 1.17.0,Critical,4,157285
lodash 2.4.2,Critical,3,146223
log4j 1.2.17,Critical,7,137789
lodash 2.3.0,Critical,2,136296
socket.io-parser 2.2.2,Critical,2,136296
socket.io-parser 2.2.4,Critical,2,136296
xmlhttprequest-ssl 1.5.1,Critical,2,136296
