project,name,version,type,purl,cpe,language,pkg_type,path
Magento-Magento_Commerce,magento/module-ui,0.74.0-beta2,library,pkg:composer/magento/module-ui@0.74.0-beta2,cpe:2.3:a:magento\/module-ui:magento\/module-ui:0.74.0-beta2:*:*:*:*:*:*:*,php,php-composer,/dev/tests/integration/testsuite/Magento/Setup/Model/_files/testSkeleton/composer.lock
Shopsys_Framework-Shopsys_Framework,@types/react,19.2.14,library,pkg:npm/%40types/react@19.2.14,cpe:2.3:a:\@types\/react:\@types\/react:19.2.14:*:*:*:*:*:*:*,javascript,npm,/project-base/storefront/pnpm-lock.yaml
Liferay-Liferay,@img/sharp-darwin-x64,0.34.3,library,pkg:npm/%40img/sharp-darwin-x64@0.34.3,cpe:2.3:a:\@img\/sharp-darwin-x64:\@img\/sharp-darwin-x64:0.34.3:*:*:*:*:*:*:*,javascript,npm,/modules/integrations/vercel/content-page/package-lock.json
Angular-AngularJS,content-disposition,0.5.4,library,pkg:npm/content-disposition@0.5.4,cpe:2.3:a:content-disposition:content-disposition:0.5.4:*:*:*:*:*:*:*,javascript,npm,/integration/trusted-types/pnpm-lock.yaml
Spree_Commerce-SpreeCommerc,picocolors,1.1.1,library,pkg:npm/picocolors@1.1.1,cpe:2.3:a:picocolors:picocolors:1.1.1:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
Meteor_Development_Group_Inc_-Meteor,fd-slicer,1.1.0,library,pkg:npm/fd-slicer@1.1.0,cpe:2.3:a:fd-slicer:fd-slicer:1.1.0:*:*:*:*:*:*:*,javascript,npm,/tools/tests/apps/modern/package-lock.json
Thelia-Thelia,mathml-tag-names,2.1.3,library,pkg:npm/mathml-tag-names@2.1.3,cpe:2.3:a:mathml-tag-names:mathml-tag-names:2.1.3:*:*:*:*:*:*:*,javascript,npm,/templates/frontOffice/modern/yarn.lock
Liferay-Liferay,is-fullwidth-code-point,3.0.0,library,pkg:npm/is-fullwidth-code-point@3.0.0,cpe:2.3:a:is-fullwidth-code-point:is-fullwidth-code-point:3.0.0:*:*:*:*:*:*:*,javascript,npm,/workspaces/liferay-aicontentwizard-workspace/yarn.lock
Ionic-Ionic_Framework,qs,6.13.0,library,pkg:npm/qs@6.13.0,cpe:2.3:a:qs_project:qs:6.13.0:*:*:*:*:node.js:*:*,javascript,npm,/packages/angular/test/apps/ng20/package-lock.json
FACEBOOK-HHVM,websocket-driver,0.7.4,library,pkg:npm/websocket-driver@0.7.4,cpe:2.3:a:websocket-driver:websocket-driver:0.7.4:*:*:*:*:*:*:*,javascript,npm,/hphp/hack/website/yarn.lock
FACEBOOK-React_Native,ruby-macho,2.5.1,library,pkg:gem/ruby-macho@2.5.1,cpe:2.3:a:ruby-macho:ruby-macho:2.5.1:*:*:*:*:*:*:*,ruby,gem,/Gemfile.lock
