Library Name,Version,Total Products Using It,Affected Products,Total Enterprises Exposed,Total CVEs,Worst Severity,# Critical,# High,# Medium,# Low,Fix Available
form-data,2.3.3,19,"Angular Material, AngularJS, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN, Bolt, CloudStack, Concrete5, Ghost, Less, Liferay, LocomotiveCMS, Neos, Piwik, React, Ruby on Rails, WooCommerce, ZURB Foundation",2857006,1,Critical,13,0,0,0,Yes
handlebars,4.7.8,18,"Angular Material, AngularJS, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN, Discourse, Ghost, Grafana, Liferay, Piwik, Presto, React, Selenium, Umbraco, WooCommerce, ZURB Foundation, dotCMS",2671688,7,Critical,13,52,26,0,Yes
twentytwentyone,2.7.0,1,WordPress,2338038,1,Critical,1,0,0,0,No
form-data,4.0.0,7,"Commerce Software, Ionic Framework, Liferay, React, Selenium IDE, WooCommerce, dotCMS",1686613,1,Critical,6,0,0,0,Yes
form-data,3.0.1,6,"Ghost, Ionic Framework, Liferay, React, Selenium IDE, WooCommerce",1650014,1,Critical,3,0,0,0,Yes
loader-utils,1.2.3,3,"AngularJS, Neos, React",1478878,3,Critical,3,6,0,0,Yes
json-schema,0.2.3,10,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN, Liferay, LocomotiveCMS, Neos, Piwik, React",1392634,1,Critical,6,0,0,0,Yes
cipher-base,1.0.4,7,"CloudStack, Ghost, LocomotiveCMS, Meteor, Neos, React, WooCommerce",1380449,1,Critical,6,0,0,0,Yes
sha.js,2.4.11,7,"CloudStack, Ghost, LocomotiveCMS, Meteor, Neos, React, WooCommerce",1380449,1,Critical,6,0,0,0,Yes
pbkdf2,3.1.2,5,"CloudStack, Ghost, Meteor, React, WooCommerce",1378116,2,Critical,10,0,0,0,Yes
minimist,0.0.8,11,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN, Ghost, Liferay, LocomotiveCMS, Neos, OrientDB, React",1335337,2,Critical,6,0,6,0,Yes
lodash,3.10.1,9,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Liferay, Neos, React",1331282,5,Critical,5,15,5,0,Yes
minimist,1.2.0,9,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Liferay, Neos, React",1331282,2,Critical,5,0,5,0,Yes
elliptic,6.5.4,3,"CloudStack, React, WooCommerce",1329919,7,Critical,3,0,0,18,Partial
basic-ftp,5.0.5,3,"React, Rust, WooCommerce",1327276,1,Critical,3,0,0,0,Yes
minimist,1.2.5,7,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN, Liferay, LocomotiveCMS, React",1294839,1,Critical,4,0,0,0,Yes
form-data,2.1.4,7,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN, Neos, React",1272439,1,Critical,4,0,0,0,Yes
loader-utils,1.4.0,5,"Ionic Framework, Liferay, LocomotiveCMS, Neos, React",1056899,3,Critical,4,8,0,0,Yes
eventsource,0.1.6,2,"Piwik, React",1003661,1,Critical,2,0,0,0,Yes
babel-traverse,6.26.0,6,"Ghost, Liferay, LocomotiveCMS, Neos, OrientDB, React",1001272,1,Critical,6,0,0,0,No
loader-utils,1.1.0,3,"Liferay, OrientDB, React",993101,3,Critical,3,6,0,0,Yes
form-data,3.0.2,2,"Liferay, React",988860,1,Critical,1,0,0,0,Yes
@babel/traverse,7.7.2,2,"Meteor, React",978644,1,Critical,1,0,0,0,Yes
deep-extend,0.4.1,2,"Apache Ambari, React",964615,1,Critical,2,0,0,0,Yes
fsevents,1.1.1,2,"Apache Ambari, React",964615,2,Critical,4,0,0,0,Yes
growl,1.8.1,2,"Apache Ambari, React",964615,1,Critical,2,0,0,0,Yes
lodash,4.17.4,2,"Apache Ambari, React",964615,8,Critical,2,6,8,0,Yes
loader-utils,2.0.0,2,"Druid, React",943519,3,Critical,2,4,0,0,Yes
loader-utils,0.2.16,2,"OrientDB, React",940526,1,Critical,2,0,0,0,Yes
minimist,0.0.10,3,"Bolt, Neos, React",939213,2,Critical,2,0,2,0,Yes
pbkdf2,3.1.1,3,"LocomotiveCMS, Neos, React",938618,2,Critical,4,0,0,0,Yes
@babel/traverse,7.10.5,2,"Neos, React",938374,1,Critical,1,0,0,0,Yes
lodash,4.17.11,2,"Neos, React",938374,5,Critical,2,4,4,0,Yes
loader-utils,0.2.17,2,"Bolt, React",937124,1,Critical,2,0,0,0,Yes
chrome-launcher,0.10.5,1,React,936285,1,Critical,1,0,0,0,Yes
deep-extend,0.4.2,1,React,936285,1,Critical,1,0,0,0,Yes
deep-extend,0.5.0,1,React,936285,1,Critical,1,0,0,0,Yes
elliptic,6.4.0,1,React,936285,9,Critical,1,1,1,6,Partial
eventsource,1.1.0,1,React,936285,1,Critical,1,0,0,0,Yes
form-data,2.1.2,1,React,936285,1,Critical,1,0,0,0,Yes
fsevents,1.0.17,1,React,936285,2,Critical,2,0,0,0,Yes
fsevents,1.1.2,1,React,936285,2,Critical,2,0,0,0,Yes
fsevents,1.1.3,1,React,936285,2,Critical,2,0,0,0,Yes
macaddress,0.2.8,1,React,936285,1,Critical,1,0,0,0,Yes
open,0.0.5,1,React,936285,1,Critical,1,0,0,0,Yes
pbkdf2,3.0.13,1,React,936285,2,Critical,2,0,0,0,Yes
pbkdf2,3.0.14,1,React,936285,2,Critical,2,0,0,0,Yes
sha.js,2.2.6,1,React,936285,1,Critical,1,0,0,0,Yes
sha.js,2.4.8,1,React,936285,1,Critical,1,0,0,0,Yes
sha.js,2.4.9,1,React,936285,1,Critical,1,0,0,0,Yes
shell-quote,1.7.1,1,React,936285,1,Critical,1,0,0,0,Yes
url-parse,1.0.5,1,React,936285,8,Critical,2,0,6,0,Yes
url-parse,1.1.7,1,React,936285,8,Critical,2,0,6,0,Yes
url-parse,1.1.9,1,React,936285,8,Critical,2,0,6,0,Yes
url-parse,1.2.0,1,React,936285,8,Critical,2,0,6,0,Yes
url-parse,1.5.1,1,React,936285,5,Critical,1,0,4,0,Yes
j178/prek-action,v1,1,Python,392149,1,Critical,1,0,0,0,Yes
fast-xml-parser,5.3.0,1,WooCommerce,386951,6,Critical,1,3,1,1,Yes
form-data,2.5.1,1,WooCommerce,386951,1,Critical,1,0,0,0,Yes
locutus,2.0.16,1,WooCommerce,386951,4,Critical,2,1,1,0,Yes
simple-git,3.21.0,1,WooCommerce,386951,1,Critical,1,0,0,0,Yes
derby,10.14.2.0,7,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Oozie, Apache YARN, Druid, Jahia",377574,1,Critical,4,0,0,0,Yes
form-data,1.0.1,6,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN",340333,1,Critical,3,0,0,0,Yes
socket.io-parser,2.3.1,5,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN",334065,4,Critical,2,4,2,0,Yes
xmlhttprequest-ssl,1.5.3,5,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN",334065,2,Critical,4,0,0,0,Yes
lodash,2.3.0,5,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN",312003,4,Critical,2,4,2,0,Yes
socket.io-parser,2.2.2,5,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN",312003,4,Critical,2,4,2,0,Yes
socket.io-parser,2.2.4,5,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN",312003,4,Critical,2,4,2,0,Yes
xmlhttprequest-ssl,1.5.1,5,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN",312003,2,Critical,4,0,0,0,Yes
apidoc-core,0.8.3,4,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN",305735,2,Critical,1,1,0,0,No
lodash-es,3.10.1,4,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN",305735,3,Critical,1,2,0,0,Yes
logback-classic,1.1.2,4,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN",305735,2,Critical,1,1,0,0,Yes
xmldom,0.1.31,4,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache YARN",305735,3,Critical,1,0,2,0,Partial
derby,10.16.1.1,2,"Apache Spark, Apache Spark Streaming",228584,1,Critical,1,0,0,0,Yes
h11,0.14.0,1,MongoDB,174761,1,Critical,1,0,0,0,Yes
pillow,10.0.1,1,MongoDB,174761,2,Critical,1,1,0,0,Yes
flink-dashboard,2.0.0,1,Apache Flink,159046,1,Critical,1,0,0,0,No
log4j-core,@log4j.version@,1,Apache Flink,159046,3,Critical,1,1,0,1,Yes
kramdown,1.17.0,4,"Apache Mesos, Capistrano, Marathon, Scala",157285,2,Critical,4,4,0,0,Yes
lodash,2.4.2,3,"Apache Ambari, Apache Tez, Less",146223,4,Critical,3,6,3,0,Yes
log4j,1.2.17,7,"Apache Ambari, Apache Flume, Apache Giraph, Apache Oozie, GlassFish, GridGain, Weka",137789,6,Critical,21,21,0,0,Partial
aquasecurity/trivy-action,v0.33.1,1,Apache Kafka,130978,2,Critical,1,0,1,0,Yes
htmlunit,2.70.0,2,"GlassFish, Hive",130795,1,Critical,2,0,0,0,Yes
laminas/laminas-http,2.3.1,1,Magento Commerce,115807,1,Critical,1,0,0,0,Yes
laminas/laminas-http,2.4.0,1,Magento Commerce,115807,1,Critical,1,0,0,0,Yes
laminas/laminas-http,2.8.4,1,Magento Commerce,115807,1,Critical,1,0,0,0,Yes
netty,3.10.5.Final,1,Hive,115545,8,Critical,1,2,5,0,No
plexus-utils,1.5.6,1,Hive,115545,4,Critical,1,2,1,0,Yes
form-data,0.0.8,1,Less,111625,1,Critical,1,0,0,0,Yes
lodash,2.4.1,1,Less,111625,4,Critical,1,2,1,0,Yes
underscore,1.4.4,1,Less,111625,2,Critical,1,1,0,0,Yes
@xmldom/xmldom,0.8.3,2,"Ghost, Ravenjs",108209,1,Critical,2,0,0,0,Yes
logback-classic,1.0.13,1,SonarQube,87080,2,Critical,1,1,0,0,Yes
logback-core,1.0.13,1,SonarQube,87080,7,Critical,1,1,3,2,Yes
loader-utils,2.0.2,2,"CloudStack, Ionic Framework",72389,3,Critical,2,4,0,0,Yes
fast-xml-parser,4.2.5,1,Piwik,67376,5,Critical,1,2,1,1,Yes
fast-xml-parser,4.5.0,1,Piwik,67376,5,Critical,1,2,1,1,Yes
koa,2.7.0,1,Piwik,67376,4,Critical,1,1,1,1,Yes
webpack,5.51.1,1,Piwik,67376,4,Critical,1,0,1,2,Yes
jackson-databind,@jackson.version@,1,Jetty,65973,18,Critical,9,9,0,0,Yes
@angular/ssr,17.0.0,1,Ionic Framework,65706,2,Critical,1,1,0,0,Yes
@angular/ssr,18.0.2,1,Ionic Framework,65706,2,Critical,1,1,0,0,Yes
@angular/ssr,19.0.2,1,Ionic Framework,65706,4,Critical,1,2,1,0,Yes
@angular/ssr,20.0.3,1,Ionic Framework,65706,5,Critical,1,2,2,0,Yes
@babel/traverse,7.18.2,1,Ionic Framework,65706,1,Critical,1,0,0,0,Yes
@nguniversal/common,16.0.0,1,Ionic Framework,65706,2,Critical,1,1,0,0,No
@nguniversal/express-engine,16.0.0,1,Ionic Framework,65706,1,Critical,1,0,0,0,No
webpack,5.73.0,1,Ionic Framework,65706,4,Critical,1,0,1,2,Yes
hadoop-common,2.8.5,2,"Apache Oozie, GridGain",61320,5,Critical,6,2,0,2,Yes
hsqldb,1.8.0.10,2,"Apache Oozie, GridGain",61320,1,Critical,1,0,0,0,Yes
activemq-client,5.15.9,1,Apache Oozie,59842,2,Critical,1,0,1,0,Yes
avro,1.8.2,1,Apache Oozie,59842,2,Critical,1,1,0,0,Yes
hive-jdbc,1.2.2,1,Apache Oozie,59842,2,Critical,1,0,1,0,Yes
