Library Name,Versions Found,Total Products Using It,Affected Products,Total Enterprises Exposed,Total CVEs,Worst Severity,# Critical,# High,# Medium,# Low,Fix Available
lodash,"2.3.0, 2.4.1, 2.4.2, 3.10.1, 3.7.0, 4.16.6, 4.17.10, 4.17.11, 4.17.15, 4.17.20, 4.17.21, 4.17.23, 4.17.4, 4.17.5, 4.2.1",61,"Angular Material, AngularJS, Apache Ambari, Apache Flink, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Mahout, Apache Storm, Apache Tez, Apache YARN, Apollo Client, Bolt, CKEditor, Cacti, CloudStack, Commerce Software, Concrete5, Countly, Discourse, Druid, Drupal, EllisLab ExpressionEngine, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jahia, Jenkins, JetPack, Less, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, Modernizr, Neos, Node js, Orchard CMS, OrientDB, Piwik, Presto, Prometheus, Ravenjs, React, React Native, Ruby on Rails, Rundeck, Selenium, Selenium IDE, Shopsys Framework, Shopware, Thelia, Umbraco, WooCommerce, XWiki, ZURB Foundation, Zabbix, dotCMS",6555271,8,Critical,21,63,79,0,Yes
fsevents,"0.3.0, 0.3.8, 1.0.17, 1.1.1, 1.1.2, 1.1.3, 1.2.13, 1.2.7, 1.2.9, 2.1.3, 2.3.2, 2.3.3",58,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Mahout, Apache YARN, Apollo Client, Bolt, CKEditor, Commerce Software, D3js, Discourse, Druid, Drupal, EllisLab ExpressionEngine, Emberjs, Ghost, GoCD, Grafana, HHVM, Hbase, Ionic Framework, Jahia, Jenkins, JetPack, Less, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, MovableType, Neos, Node js, Nunjucks, Orchard CMS, OrientDB, Piwik, Presto, Prometheus, Python, Ravenjs, React, React Native, Roundcube, Ruby on Rails, Selenium, Selenium IDE, Shopsys Framework, Shopware, SpreeCommerc, Thelia, WooCommerce, XWiki, ZURB Foundation, dotCMS, phpMyAdmin",5168713,1,Critical,16,0,0,0,Yes
minimist,"0.0.10, 0.0.8, 0.1.0, 0.2.4, 1.1.3, 1.2.0, 1.2.3, 1.2.5, 1.2.6, 1.2.7, 1.2.8",60,"ASP NET, Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Mahout, Apache Tez, Apache YARN, Apollo Client, Bolt, CKEditor, Cacti, CloudStack, Commerce Software, Countly, Discourse, Druid, Drupal, EllisLab ExpressionEngine, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jahia, Jenkins, JetPack, Less, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, Neos, NopCommerce, Orchard CMS, OrientDB, Piwik, Plotly, Presto, Python, Quill, Ravenjs, React, React Native, Ruby on Rails, Selenium, Selenium IDE, Shopsys Framework, Shopware, Thelia, Umbraco, WooCommerce, XWiki, ZK, ZURB Foundation, Zabbix, dotCMS",4993968,2,Critical,20,0,16,0,Yes
form-data,"0.0.8, 0.1.4, 0.2.0, 1.0.1, 2.1.2, 2.1.4, 2.3.1, 2.3.2, 2.3.3, 2.5.1, 2.5.5, 3.0.1, 3.0.2, 3.0.3, 4.0.0, 4.0.2, 4.0.4, 4.0.5",46,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Apollo Client, Bolt, CKEditor, CloudStack, Commerce Software, Concrete5, Countly, Discourse, Druid, Drupal, EllisLab ExpressionEngine, Emberjs, Ghost, Grafana, HHVM, Ionic Framework, JetPack, Less, Liferay, Live Helper Chat, LocomotiveCMS, Neos, Piwik, Presto, Ravenjs, React, Ruby on Rails, Rundeck, Selenium, Selenium IDE, Shopsys Framework, Shopware, Thelia, WooCommerce, XWiki, ZURB Foundation, dotCMS, phpMyAdmin",4187558,1,Critical,38,0,0,0,Yes
webpack,"1.14.0, 1.15.0, 3.12.0, 3.5.1, 3.8.1, 4.44.2, 4.46.0, 4.47.0, 5.101.2, 5.101.3, 5.102.1, 5.103.0, 5.104.0, 5.104.1, 5.105.0, 5.105.1, 5.105.2, 5.105.3, 5.105.4, 5.51.1, 5.64.0, 5.66.0, 5.73.0, 5.74.0, 5.76.1, 5.82.1, 5.88.2, 5.89.0, 5.90.3, 5.93.0, 5.94.0, 5.95.0, 5.97.1, 5.98.0, 5.99.7, 5.99.8, 5.99.9",43,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, CloudStack, Commerce Software, Discourse, Druid, Drupal, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jenkins, JetPack, Less, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, Neos, Open Web Analytics, Orchard CMS, OrientDB, Piwik, Presto, Quill, Ravenjs, React, Rundeck, Selenium IDE, Shopsys Framework, Shopware, Thelia, WooCommerce, ZURB Foundation, cube net, dotCMS, phpMyAdmin",3519018,4,Critical,6,0,13,59,Yes
@babel/traverse,"7.0.0-beta.44, 7.10.5, 7.11.0, 7.11.5, 7.12.0, 7.12.1, 7.12.9, 7.17.9, 7.18.11, 7.18.2, 7.20.13, 7.21.5, 7.22.10, 7.22.20, 7.22.5, 7.23.2, 7.23.3, 7.23.6, 7.24.0, 7.24.1, 7.24.5, 7.25.3, 7.25.6, 7.25.9, 7.26.10, 7.26.4, 7.26.7, 7.26.9, 7.27.0, 7.27.1, 7.28.0, 7.28.3, 7.28.4, 7.28.5, 7.28.6, 7.29.0, 7.4.0, 7.4.5, 7.7.2, 7.7.4, 7.8.3, 8.0.0-rc.3",42,"Angular Material, AngularJS, Apache Mahout, Apollo Client, Bolt, CKEditor, Commerce Software, Concrete5, Discourse, Druid, Emberjs, Ghost, GoCD, Grafana, HHVM, Ionic Framework, Jenkins, JetPack, Liferay, Live Helper Chat, Liveblog, LocomotiveCMS, Meteor, Neos, Node js, Orchard CMS, Presto, Quill, Ravenjs, React, React Native, Selenium, Selenium IDE, Shopsys Framework, Shopware, Thelia, WooCommerce, XWiki, ZK, ZURB Foundation, dotCMS, phpMyAdmin",3307339,1,Critical,13,0,0,0,Yes
uglify-js,"1.3.2, 2.3.6, 2.4.24, 2.7.5, 2.8.21, 2.8.22, 2.8.29, 3.0.28, 3.1.9, 3.11.2, 3.13.3, 3.13.4, 3.13.5, 3.15.5, 3.17.4, 3.19.0, 3.19.3, 3.4.10, 3.5.1, 3.7.3",30,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Bolt, Countly, Discourse, Emberjs, Ghost, Grafana, Jahia, Jenkins, JetPack, Liferay, LocomotiveCMS, Neos, OrientDB, Piwik, Presto, Ravenjs, React, Selenium, Umbraco, WooCommerce, ZURB Foundation, dotCMS",3236198,2,Critical,3,4,0,0,Yes
handlebars,"1.0.12, 2.0.0, 3.0.3, 4.0.6, 4.1.1, 4.5.3, 4.7.6, 4.7.7, 4.7.8, 4.7.9, 6.3.2",27,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Discourse, Emberjs, Ghost, Grafana, Jenkins, JetPack, Liferay, LocomotiveCMS, Neos, Piwik, Presto, Ravenjs, React, Rust, Selenium, Umbraco, WooCommerce, ZURB Foundation, dotCMS",3229146,12,Critical,30,72,31,0,Yes
json-schema,"0.2.3, 0.4.0, 3.0.0, 6.2.0",30,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Apollo Client, Bolt, CloudStack, Concrete5, Countly, Discourse, Druid, Ghost, Grafana, HHVM, Ionic Framework, Less, Liferay, LocomotiveCMS, Neos, Piwik, Ravenjs, React, Ruby on Rails, WooCommerce, ZURB Foundation, dotCMS",3200678,1,Critical,6,0,0,0,Yes
underscore,"1.1.7, 1.12.1, 1.13.1, 1.13.2, 1.13.3, 1.13.6, 1.13.7, 1.13.8, 1.4.4, 1.7.0, 1.8.3, 1.9.1",25,"AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Apollo Client, Backbonejs, Commerce Software, Countly, Discourse, Drupal, Emberjs, Ghost, Jahia, Less, Liferay, OrientDB, Ravenjs, React, Rundeck, Selenium, ZURB Foundation, dotCMS",2956777,2,Critical,6,16,0,0,Yes
