Vulnerable Library,CVE ID,CVE Severity,Products Affected,Affected Products,Enterprises Exposed
twentytwentyone 2.7.0,N/A,Critical,1,WordPress,2338038
form-data 2.3.3,CVE-2025-7783,Critical,13,"Angular Material, AngularJS, Apache Hadoop, Bolt, CloudStack, Concrete5, Less, Liferay, Neos, Piwik, Ruby on Rails, WooCommerce, ZURB Foundation",1738932
handlebars 4.7.8,CVE-2026-33937,Critical,13,"Angular Material, AngularJS, Apache Hadoop, Discourse, Ghost, Grafana, Liferay, Piwik, Presto, Selenium, Umbraco, WooCommerce, dotCMS",1554822
form-data 4.0.0,CVE-2025-7783,Critical,6,"Commerce Software, Ionic Framework, Liferay, React, WooCommerce, dotCMS",1483954
loader-utils 1.2.3,CVE-2022-37601,Critical,3,"AngularJS, Neos, React",1478878
cipher-base 1.0.4,CVE-2025-9287,Critical,6,"CloudStack, Ghost, Meteor, Neos, React, WooCommerce",1380205
sha.js 2.4.11,CVE-2025-9288,Critical,6,"CloudStack, Ghost, Meteor, Neos, React, WooCommerce",1380205
pbkdf2 3.1.2,CVE-2025-6545,Critical,5,"CloudStack, Ghost, Meteor, React, WooCommerce",1378116
pbkdf2 3.1.2,CVE-2025-6547,Critical,5,"CloudStack, Ghost, Meteor, React, WooCommerce",1378116
elliptic 6.5.4,N/A,Critical,3,"CloudStack, React, WooCommerce",1329919
basic-ftp 5.0.5,CVE-2026-27699,Critical,3,"React, Rust, WooCommerce",1327276
json-schema 0.2.3,CVE-2021-3918,Critical,6,"Apache Ambari, Apache Hadoop, Liferay, Neos, Piwik, React",1216683
minimist 1.2.5,CVE-2021-44906,Critical,4,"Apache Hadoop, Liferay, LocomotiveCMS, React",1119132
form-data 2.1.4,CVE-2025-7783,Critical,4,"Apache Ambari, Apache Hadoop, Neos, React",1096732
loader-utils 1.4.0,CVE-2022-37601,Critical,4,"Ionic Framework, Liferay, Neos, React",1056655
eventsource 0.1.6,CVE-2022-1650,Critical,2,"Piwik, React",1003661
babel-traverse 6.26.0,CVE-2023-45133,Critical,6,"Ghost, Liferay, LocomotiveCMS, Neos, OrientDB, React",1001272
loader-utils 1.1.0,CVE-2022-37601,Critical,3,"Liferay, OrientDB, React",993101
deep-extend 0.4.1,CVE-2018-3750,Critical,2,"Apache Ambari, React",964615
fsevents 1.1.1,CVE-2023-45311,Critical,2,"Apache Ambari, React",964615
fsevents 1.1.1,N/A,Critical,2,"Apache Ambari, React",964615
growl 1.8.1,CVE-2017-16042,Critical,2,"Apache Ambari, React",964615
lodash 4.17.4,CVE-2019-10744,Critical,2,"Apache Ambari, React",964615
loader-utils 2.0.0,CVE-2022-37601,Critical,2,"Druid, React",943519
loader-utils 0.2.16,CVE-2022-37601,Critical,2,"OrientDB, React",940526
lodash 4.17.11,CVE-2019-10744,Critical,2,"Neos, React",938374
pbkdf2 3.1.1,CVE-2025-6545,Critical,2,"Neos, React",938374
pbkdf2 3.1.1,CVE-2025-6547,Critical,2,"Neos, React",938374
loader-utils 0.2.17,CVE-2022-37601,Critical,2,"Bolt, React",937124
chrome-launcher 0.10.5,CVE-2020-7645,Critical,1,React,936285
deep-extend 0.4.2,CVE-2018-3750,Critical,1,React,936285
deep-extend 0.5.0,CVE-2018-3750,Critical,1,React,936285
elliptic 6.4.0,N/A,Critical,1,React,936285
eventsource 1.1.0,CVE-2022-1650,Critical,1,React,936285
form-data 2.1.2,CVE-2025-7783,Critical,1,React,936285
fsevents 1.0.17,CVE-2023-45311,Critical,1,React,936285
fsevents 1.0.17,N/A,Critical,1,React,936285
fsevents 1.1.2,CVE-2023-45311,Critical,1,React,936285
fsevents 1.1.2,N/A,Critical,1,React,936285
fsevents 1.1.3,CVE-2023-45311,Critical,1,React,936285
fsevents 1.1.3,N/A,Critical,1,React,936285
macaddress 0.2.8,CVE-2018-13797,Critical,1,React,936285
open 0.0.5,N/A,Critical,1,React,936285
pbkdf2 3.0.13,CVE-2025-6545,Critical,1,React,936285
pbkdf2 3.0.13,CVE-2025-6547,Critical,1,React,936285
pbkdf2 3.0.14,CVE-2025-6545,Critical,1,React,936285
pbkdf2 3.0.14,CVE-2025-6547,Critical,1,React,936285
sha.js 2.2.6,CVE-2025-9288,Critical,1,React,936285
sha.js 2.4.8,CVE-2025-9288,Critical,1,React,936285
sha.js 2.4.9,CVE-2025-9288,Critical,1,React,936285
shell-quote 1.7.1,CVE-2021-42740,Critical,1,React,936285
url-parse 1.0.5,CVE-2018-3774,Critical,1,React,936285
url-parse 1.0.5,CVE-2022-0686,Critical,1,React,936285
url-parse 1.1.7,CVE-2018-3774,Critical,1,React,936285
url-parse 1.1.7,CVE-2022-0686,Critical,1,React,936285
url-parse 1.1.9,CVE-2018-3774,Critical,1,React,936285
url-parse 1.1.9,CVE-2022-0686,Critical,1,React,936285
url-parse 1.2.0,CVE-2018-3774,Critical,1,React,936285
url-parse 1.2.0,CVE-2022-0686,Critical,1,React,936285
url-parse 1.5.1,CVE-2022-0686,Critical,1,React,936285
form-data 3.0.1,CVE-2025-7783,Critical,3,"Ionic Framework, Liferay, WooCommerce",505232
j178/prek-action v1,N/A,Critical,1,Python,392149
fast-xml-parser 5.3.0,CVE-2026-25896,Critical,1,WooCommerce,386951
form-data 2.5.1,CVE-2025-7783,Critical,1,WooCommerce,386951
locutus 2.0.16,CVE-2026-25521,Critical,1,WooCommerce,386951
locutus 2.0.16,CVE-2026-32304,Critical,1,WooCommerce,386951
simple-git 3.21.0,CVE-2026-28292,Critical,1,WooCommerce,386951
lodash 3.10.1,CVE-2019-10744,Critical,5,"Apache Ambari, Apache Hadoop, Apache Tez, Liferay, Neos",219290
minimist 1.2.0,CVE-2021-44906,Critical,5,"Apache Ambari, Apache Hadoop, Apache Tez, Liferay, Neos",219290
minimist 0.0.8,CVE-2021-44906,Critical,6,"Apache Ambari, Apache Hadoop, Liferay, LocomotiveCMS, Neos, OrientDB",217507
derby 10.14.2.0,CVE-2022-46337,Critical,4,"Apache Hadoop, Apache Oozie, Druid, Jahia",201867
h11 0.14.0,CVE-2025-43859,Critical,1,MongoDB,174761
pillow 10.0.1,CVE-2023-50447,Critical,1,MongoDB,174761
derby 10.16.1.1,CVE-2022-46337,Critical,1,Apache Spark,170568
form-data 1.0.1,CVE-2025-7783,Critical,3,"Apache Ambari, Apache Hadoop, Apache Tez",164626
flink-dashboard 2.0.0,N/A,Critical,1,Apache Flink,159046
log4j-core @log4j.version@,CVE-2021-45046,Critical,1,Apache Flink,159046
socket.io-parser 2.3.1,CVE-2022-2421,Critical,2,"Apache Ambari, Apache Hadoop",158358
xmlhttprequest-ssl 1.5.3,CVE-2020-28502,Critical,2,"Apache Ambari, Apache Hadoop",158358
xmlhttprequest-ssl 1.5.3,CVE-2021-31597,Critical,2,"Apache Ambari, Apache Hadoop",158358
kramdown 1.17.0,CVE-2020-14001,Critical,4,"Apache Mesos, Capistrano, Marathon, Scala",157285
lodash 2.4.2,CVE-2019-10744,Critical,3,"Apache Ambari, Apache Tez, Less",146223
log4j 1.2.17,CVE-2019-17571,Critical,7,"Apache Ambari, Apache Flume, Apache Giraph, Apache Oozie, GlassFish, GridGain, Weka",137789
log4j 1.2.17,CVE-2022-23305,Critical,7,"Apache Ambari, Apache Flume, Apache Giraph, Apache Oozie, GlassFish, GridGain, Weka",137789
log4j 1.2.17,CVE-2022-23307,Critical,7,"Apache Ambari, Apache Flume, Apache Giraph, Apache Oozie, GlassFish, GridGain, Weka",137789
lodash 2.3.0,CVE-2019-10744,Critical,2,"Apache Hadoop, Apache Tez",136296
socket.io-parser 2.2.2,CVE-2022-2421,Critical,2,"Apache Hadoop, Apache Tez",136296
socket.io-parser 2.2.4,CVE-2022-2421,Critical,2,"Apache Hadoop, Apache Tez",136296
xmlhttprequest-ssl 1.5.1,CVE-2020-28502,Critical,2,"Apache Hadoop, Apache Tez",136296
xmlhttprequest-ssl 1.5.1,CVE-2021-31597,Critical,2,"Apache Hadoop, Apache Tez",136296
aquasecurity/trivy-action v0.33.1,CVE-2026-33634,Critical,1,Apache Kafka,130978
htmlunit 2.70.0,CVE-2023-26119,Critical,2,"GlassFish, Hive",130795
apidoc-core 0.8.3,CVE-2025-13158,Critical,1,Apache Hadoop,130028
lodash-es 3.10.1,CVE-2019-10744,Critical,1,Apache Hadoop,130028
logback-classic 1.1.2,CVE-2017-5929,Critical,1,Apache Hadoop,130028
xmldom 0.1.31,CVE-2022-39353,Critical,1,Apache Hadoop,130028
laminas/laminas-http 2.3.1,CVE-2021-3007,Critical,1,Magento Commerce,115807
laminas/laminas-http 2.4.0,CVE-2021-3007,Critical,1,Magento Commerce,115807
laminas/laminas-http 2.8.4,CVE-2021-3007,Critical,1,Magento Commerce,115807
netty 3.10.5.Final,CVE-2019-20444,Critical,1,Hive,115545
plexus-utils 1.5.6,CVE-2017-1000487,Critical,1,Hive,115545
form-data 0.0.8,CVE-2025-7783,Critical,1,Less,111625
lodash 2.4.1,CVE-2019-10744,Critical,1,Less,111625
underscore 1.4.4,CVE-2021-23358,Critical,1,Less,111625
@xmldom/xmldom 0.8.3,CVE-2022-39353,Critical,2,"Ghost, Ravenjs",108209
logback-classic 1.0.13,CVE-2017-5929,Critical,1,SonarQube,87080
logback-core 1.0.13,CVE-2017-5929,Critical,1,SonarQube,87080
loader-utils 2.0.2,CVE-2022-37601,Critical,2,"CloudStack, Ionic Framework",72389
fast-xml-parser 4.2.5,CVE-2026-25896,Critical,1,Piwik,67376
fast-xml-parser 4.5.0,CVE-2026-25896,Critical,1,Piwik,67376
koa 2.7.0,CVE-2025-25200,Critical,1,Piwik,67376
webpack 5.51.1,CVE-2023-28154,Critical,1,Piwik,67376
jackson-databind @jackson.version@,CVE-2017-17485,Critical,1,Jetty,65973
jackson-databind @jackson.version@,CVE-2017-7525,Critical,1,Jetty,65973
jackson-databind @jackson.version@,CVE-2018-7489,Critical,1,Jetty,65973
jackson-databind @jackson.version@,CVE-2019-14379,Critical,1,Jetty,65973
jackson-databind @jackson.version@,CVE-2019-14540,Critical,1,Jetty,65973
jackson-databind @jackson.version@,CVE-2019-16335,Critical,1,Jetty,65973
jackson-databind @jackson.version@,CVE-2019-16943,Critical,1,Jetty,65973
jackson-databind @jackson.version@,CVE-2019-17267,Critical,1,Jetty,65973
jackson-databind @jackson.version@,CVE-2019-17531,Critical,1,Jetty,65973
@angular/ssr 17.0.0,CVE-2026-27739,Critical,1,Ionic Framework,65706
@angular/ssr 18.0.2,CVE-2026-27739,Critical,1,Ionic Framework,65706
@angular/ssr 19.0.2,CVE-2026-27739,Critical,1,Ionic Framework,65706
@angular/ssr 20.0.3,CVE-2026-27739,Critical,1,Ionic Framework,65706
@babel/traverse 7.18.2,CVE-2023-45133,Critical,1,Ionic Framework,65706
@nguniversal/common 16.0.0,CVE-2026-27739,Critical,1,Ionic Framework,65706
@nguniversal/express-engine 16.0.0,CVE-2026-27739,Critical,1,Ionic Framework,65706
webpack 5.73.0,CVE-2023-28154,Critical,1,Ionic Framework,65706
hadoop-common 2.8.5,CVE-2021-37404,Critical,2,"Apache Oozie, GridGain",61320
hadoop-common 2.8.5,CVE-2022-25168,Critical,2,"Apache Oozie, GridGain",61320
hadoop-common 2.8.5,CVE-2022-26612,Critical,2,"Apache Oozie, GridGain",61320
activemq-client 5.15.9,CVE-2023-46604,Critical,1,Apache Oozie,59842
avro 1.8.2,CVE-2024-47561,Critical,1,Apache Oozie,59842
hive-jdbc 1.2.2,CVE-2018-1282,Critical,1,Apache Oozie,59842
jackson-databind 2.6.7.5,CVE-2017-17485,Critical,1,Apache Oozie,59842
jackson-databind 2.6.7.5,CVE-2018-11307,Critical,1,Apache Oozie,59842
jackson-databind 2.6.7.5,CVE-2018-14719,Critical,1,Apache Oozie,59842
jackson-databind 2.6.7.5,CVE-2019-14379,Critical,1,Apache Oozie,59842
jackson-databind 2.6.7.5,CVE-2019-17267,Critical,1,Apache Oozie,59842
jackson-databind 2.6.7.5,CVE-2020-9547,Critical,1,Apache Oozie,59842
jackson-databind 2.6.7.5,CVE-2020-9548,Critical,1,Apache Oozie,59842
spark-core_2.10 1.6.1,CVE-2018-17190,Critical,1,Apache Oozie,59842
set-value 0.4.3,CVE-2019-10747,Critical,3,"Liferay, Neos, OrientDB",58905
set-value 2.0.0,CVE-2019-10747,Critical,3,"Liferay, Neos, OrientDB",58905
@babel/traverse 7.4.0,CVE-2023-45133,Critical,2,"Liferay, Neos",54664
minimist 1.1.3,CVE-2021-44906,Critical,2,"Liferay, Neos",54664
mixin-deep 1.3.1,CVE-2019-10746,Critical,2,"Liferay, Neos",54664
@babel/traverse 7.22.10,CVE-2023-45133,Critical,2,"Liferay, Thelia",52714
@babel/traverse 7.12.1,CVE-2023-45133,Critical,1,Liferay,52575
@babel/traverse 7.21.5,CVE-2023-45133,Critical,1,Liferay,52575
@babel/traverse 7.22.20,CVE-2023-45133,Critical,1,Liferay,52575
